pk;id;artist;title;category;genre;cdextra;year;track01;track02;track03;track04;track05;track06;track07;track08;track09;track10;track11;track12;track13;track14
4271;a50a430c;James Taylor;James Taylor Greatest Hits;misc;Swing;YEAR: 1976 ID3G:  83;1976;SomethingInTheWaySheMoves(1968,JamesTaylor);CarolinaInMyMind(1968,JamesTaylor);FireAndRain(1969,JamesTaylor);SweetBabyJames(1970,JamesTaylor);CountryRoad(1970,JamesTaylor);"You'veGotAFriend(CaroleKing,AKAKlein,Brooklyn,NYC;1971,JamesTaylor)";Don'tLetMeBeLonelyTonight(1972,JamesTaylor);WalkingMan(1974,JamesTaylor);"HowSweetItIs{ToBeLovedByYou}(1964,Holland,Dozier,Holland;1975,JamesT";aylo;Mexico(1975,JamesTaylor);ShowerThePeople(1976,JamesTaylor);Steamroller[live@UniversalAmphitheatre,LosAngeles,CA](1970,JamesTay;"lor;"
4282;a50ae50c;La Oreja de Van Gogh;El viaje de Copperpot;misc;Pop;;;Cuidate;Soledad;París;La Playa;Pop;Dicen que dicen;Mariposa;La chica del gorro azul;Tu pelo;Tantas cosas que contar;Los amantes del circulo polar;Desde el Puerto;;
4291;a50b100e;Britney Spears;Britney;misc;Popular;;2001;I'm A Slave 4 U;Overprotected;Lonely;I'm Not A Girl, Not Yet A Woman;Boys;Anticipating;I Love Rock 'n' Roll;Cinderella;Let Me Be;Bombastic Love;That's Where You Take Me;When I Found You;Before The Goodbye;What It's Like To Be Me
4292;a50b270c;Q-Tip;Amplified;misc;Hip-Hop;;1999;Wait Up;Higher;Breathe And Stop;Moving With U;Let's Ride;Things U Do;All In;Go Hard;Do It;Viurant Thing;N.T. (feat. Busta Rhymes);End Of Time (feat. Korn);;
4297;a50b630d;Avril Lavigne;Let Go;misc;Rock;That's the right one.;2002;Losing Grip;Complicated;Sk8er Boi;I'm With you;Mobile;Unwanted;Tomorrow;Anithing But Ordinary;Things I'll Never Say;My World;Nobody's Fool;Too Much To Ask;Naked;
4306;a50bc90d;Avril Lavigne;Let Go;misc;Rock/Pop;;;Losing Grip;Complicated;Sk8er Boi;I'm With You;Mobile;Unwanted;Tomorrow;Anything but Ordinary;Things I'll Never Say;My World;Nobody's Fool;Too Much to Ask;Naked;
4348;a50dba0c;Frank Zappa;Joe's Garage (Disk 1);misc;Rock;;1979;The Central Scrutinizer;Joe's Garage;Catholic Girls;Crew Slut;Fembot In A Wet T-Shirt;On The Bus;Why Does It Hurt When I Pee?;Lucille Has Messed My Mind Up;Scrutinizer Postlude;A Token Of My Extreme;Stick It Out;Sy Borg;;
4358;a00e780e,a50e770e;Jay-Z;Vol.2... Hard Knock Life;misc;Hip-Hop;;1998;Intro - Hand It Down (feat. Memphis Bleek);Hard Knock Life (The Ghetto Anthem);If I Should Die (feat. Da Ranjahz);Ride Or Die;Nigga What, Nigga Who (Originator 99) (feat. Big Jaz);Money, Cash, Hoes (ft. DMX);A Week Ago (feat. Too $hort);Coming Of Age (Da Sequel) (feat. Memphis Bleek);Can I Get A... (feat. Amil (of Major Coins) & Ja Rule);Paper Chase (feat. Foxy Brown);Reservoir Dogs (feat. The Lox, Beanie Siegel & Sauce Money);It's Like That (feat. Kid Capri);It's Alright (feat. Memphis Bleek) (Bonus Track);Money Ain't A Thang (feat. Jermaine Dupri) (Bonus Track)
4384;a510790b;Robert Miles;Dreamland;misc;;;;Children (Dream Version);Fable (Message Version);Fantasya;Landscape;In My Dreams;Princess of Light;Fable (Dream Version);In the Dawn;Children (Original Version);Red Zone;One & One;;;
4395;a511050d;Marianne Faithfull;Blazing Away;misc;Ballad;;1990;Les prisons du roy;Strange weather;Guilt;Working class hero;Sister Morphine;As tears go by;Why'd ya do it?;When I find my life;Ballad of Lucy Jordan;Times Square;Blazing away;She moved through the fair;Broken English;
4419;a6082d0b;Jefferson Airplane;Surrealistic Pillow;misc;Rock;YEAR: 1967\nMarty Balin - guitar, vocals\nJorma Kaukonen - lead guitar,;1967;She Has Funny Cars;Somebody To Love;My Best Friend;Today;Comin' Back to Me;3/5 Of A Mile In 10 Seconds;D.C.B.A.-25;How Do You Feel;Embryonic Journey;White Rabbit;Plastic Fantastic Lover;;;
4441;a609fc0c;Nirvana;Nevermind;misc;Grunge;YEAR: 1991;1991;Smells Like Teen Spirit;In Bloom;Come As You Are;Breed;Lithium;Polly;Territorial Pissings;Drain You;Lounge Act;Stay Away;On A Plain;Something In The Way;;
4451;a60a7d0d;å°?é‡Žãƒªã‚µ;DREAM;misc;Japanese Unclassifiable;;;On the Sunny Side of the Street;Moonlight Serenade;Undecided;Tea for Two;Night and Day;As Time Goes by;Stompin' at The Savoy;The Boy Next Door;In the Mood;Dream;Angels's Eyes;Sentimental Journey;Chattanooga Choo-Choo;
4481;a60b5e0b;Ruby;Salt Peter;misc;Other;;1995;Flippin' Tha Bird;Salt Water Fish;Heidi;Tiny Meat;Parrafin;Hoops;Pine;Swallow Baby;The Whole is Equal to the Sum of its Parts;Bud;Carondelet;;;
4490;a60bb80b;Tom Waits;Small Change;misc;Jazz;;1976;Tom Traubert's Blues;Step Right Up;Jitterbug Boy;I Wish I Was In New Orleans;The Piano Has Been Drinking (It's Not Me);Invitation To The Blues;Pasties And A G-String;Bad Liver And A Broken Heart;The One That Got Away;Small Change;I Can't Wait To Get Off Work;;;
4508;a60c850c;Radiohead;OK Computer;misc;Pop;;1997;Airbag;Paranoid Android;Subterranean Homesic Alien;Exit Music (For a Film);Let Down;Karma Police;Fitter, Happier;Electioneering;Climbing Up the Walls;No Surprises;Lucky;The Tourist;;
4520;a60d3b0d;Shane Barnard and Shane Everett;Psalms;misc;Misc;;2002;Breath of God;Unto You;Psalm 143 (Revive Me);The Answer;Psalm 13;Psalm 145;Waiting Room;Job 19;Psalm 118 (This is the Day);Praise the Name Of Jesus;We've Come to Declare;You Said;Hosea;
4563;a610290b;the criystal method;tweekend;misc;Electronic;;2001;phd;the criystal method / wild, sweet and cool;the criystal method / roll it up;the criystal method / murder;the criystal method / name of the game;the criystal method / the winner;the criystal method / ready for action;the criystal method / ten miles back;the criystal method / over the line;the criystal method / blowout;the criystal method / tough guy;;;
4586;a611cc0d;Ministry;Power Department;misc;Industrial;Live in Omaha 1990;1992;Breathe;The missing;Delty;Man should surrender;No bunny;Smothered hope;So what;Burning inside;Thieves;Stigmata;Stainless steel pounders;Public image;Land of rape and honey;
4588;a611f70d;Fuse;Dimension Intrusion;misc;;;;A New Day;F.U.;SIAC;Dimension Intrusion;Substance Abuse;Train-Trac.1;Another Time (revisited);TheyChX;UVA;Mantrax;Nitedrive;Into The Space;Logikal Nonsense;
4601;a708480c;Alkaline Trio;From Here to Infirmiry;misc;;;;Cringe;Cop;San Francisco;Nose over tail;As You Were;Enjoy Your Day;Clavicle;My Little Needle;Southern Rock;Message From Kathlene;Trouble Breathing;Sorry About That;;
4613;a7091b0b;Amy Grant;A Christmas to Remember;misc;Holiday;Featuring Patrick Williams and his Orchestra and Ronn Huff and the Nashville Studio Orchestra;1999;A Christmas to Remember;Christmas Can't Be Very Far Away;Silent Night;Christmas Lullaby;Highland Cathedral;Jingle Bell Rock;Mister Santa;'Til The Season Comes 'Round Again;Gabriel's Oboe;Welcome To Our World;Agnus Dei;;;
4631;a70a370d;Billy May - Glenn Miller Band;The Original Reunion Of The Glenn Miller Band;misc;Big Band;YEAR: 1986;1986;Moonlight Serenade Intro;Anvil chorus;Story;Little brown jug;Too little time;American patrol;Monnlight Serenade;A string of pearls;Pennsylvania 6-5000;Tuxedo junction;Song of Wolga boatmen;In the mood;Moonlight Serenade Outro;
4676;a70be90c;Nelly Furtado;Whoa, Nelly!;misc;Undefined;;2000;Hey, Man!;Shit On The Radio;Baby Girl;Legend;I'm Like A Bird;Turn Off The Light;Trynna Finda Way;Party's Just Begun;I Will Make You Cry;My Love Grows Deeper (Everyday);I Feel You;Scared Of You;;
4684;a70c390d;The Jazzmasters;The Jazzmasters 4;misc;Jazz / Smooth;YEAR: 2003;2003;Vally of the Harps;Feeling Blue;Visions of Illusion;Lifetime;Puerto Banus;Time 4 Living;Signs of Life (Still Searching);Emerald Stardust;Voice of the Angels;Quiet Groove;Valley of the Harps Reprise;How Long (Before we get it Right);If You Knew;
4709;a70d600c;globe;globe;misc;;;;Give You;Feel Like Dance;Gonna Be Alright;DEPARTURES (ALBUM MIX);Regret Of The Day;Joy To The Love;SWEET PAIN (NEW VERSION);Always Together;Precious Memories;FREEDOM (NO EDITED);MUSIC TAKES ME HIGHER;LIGHTS OUT;;
4710;a70d610c;globe;globe;misc;misc;;;GIVE YOU;Feel Like dance;GONNA BE ALRIGHT;DEPARTURES (ALBUM MIX);Regart of the Day;Joy to the Love;SWEET PAIN (NEW VERSION);Always Together;Precious Memories;FREEDOM (NO EDITED);MUSIC TAKES ME HIGHER;LIGHTS OUT;;
4732;a70f0b0d;Justin Timberlake;Justified;misc;R&B;YEAR: 2002 ID3G: 14;2002;Senorita;Like I Love You;What You Got;Take It From Here;Cry Me A River;Rock Your Body;Nothin Else;Last Night;Still On My Brain;Take Me Now;Right For Me;Let's Take A Ride;Never Again;
4733;a70f160c;Ìóðçèëêè International;Ìóðçèëêè +;misc;Russian Pop;;2003;Ìåëüíèöà feat. È.Íèêîëàåâ;Êîìàðîâî feat. È.Ñêëÿð;Òàãàíêà feat. Ì.Øóôóòèíñêèé;Áàáóøêè_ñòàðóøêè feat. Â.Äîáðûíèí;Òðàâà ó äîìà feat. Çåìëÿíå;Ìãíîâåíèÿ feat. Í.Áàñêîâ;Äîæäè feat. È.Êîðíåëþê;Áóêåò feat. À.Áàðûêèí;22 ïðèòîïà feat. Ñ.Ìèíàåâ;ß ëþáëþ âàñ, äåâî÷êè feat. Ð.Æóêîâ;Hands up feat. Ottawan;Video;;
4774;a7120d0d;F.U.S.E;Dimension Intrusion;misc;;Ritchie Hawtin's (aka plastikman) first album.\n;;a new day;f.u;stac;dimension intrusion;substance abuse;train-trac.1;another time (revisited);theychk;uva;mantrax;nitedrive;into the space;logikal nonsense;
4804;a809490c;Bu³at Okud¿awa;¯yczenia dla przyjació³;misc;;Nagrañ dokonano podczas 12-go Przegl±du Piosenki Aktorskiej;;Piosenka o Mozarcie;Piosenka o Arbackim Emigrancie;Szybko Mija M³odo¶æ;Znak;Piosenka o M³odym U³anie;O Wo³odii Wysockim;Pisze Powie¶æ Historyczn±;Piosenka o Pierestrojce;Wybaczcie Piechoæie;Piosenka Krótka, Jak Samo ¯ycie;¯yczenia dla Przyjació³;Pie¶ñ Gruziñska;;
4843;a80b090b;Jimmy Eat World;Bleed American;misc;Alt Rock;YEAR: 2001;2001;Bleed American;A Praise Chorus;The Middle;Your House;Sweetness;Hear You Me;If You Don't, Don't;Get It Faster;Cautioners;The Authority Song;My Sundown;;;
4851;a80b8e0c;Toni Braxton;The Heat;misc;;;;He Wasn't Man Enough;The Heat;Spanish Guitar;Just Be A Man About It;Gimme Some;I'm Still Breathing;Fairy Tale;The Art Of Love;Speaking In Toungues;Maybe;You've Been Wrong;Never Just For A Ring;;
4876;a80cd80c;Various Artists;International DeeJay Gigolos CD Five;misc;Electronic;YEAR: 2001 ID3G:  52;2001;Inform3r / Random Jazz;Mitsu / Shylight;Tuxedomoon / What Use;Filippo Naughty Moscatello / Final Signal;Terence Fixmer / Body Pressure;Advent, The / World Tonight;Steril / Grey;Fischerspooner / Emerge;Savas Pascalidis / Space Woman;Miss Kittin & The Hacker / You and Us;Stalker 7 / Chloe;Linda Lamb / Hot Room;;
4886;a80d370d;Luo - X;La realtà la lealtà e lo scont;misc;Rap;Hip-Hop;1998;Intro;il mattino ha l'oro in bocca;vittime e complotti;a spasso per l'impero;oro e acciaio;sulla costa;danneggiatori;e la sagra continua;stati d'ansia;i numeri di cabal;dal profondo;attmi di gioia tra il dolore;via da qua;
4895;a80d960c;Faithless;Outrospective;misc;other;;2001;Donny X;Not Ennuf Love;We Come One;Crazy English Summer;Muhammed Ali;Machines R Us;One Step Too Far;Tarantula;Giving Myself Away;Code;Evergreen;Liontamer;;
4905;a80e690e;Britney Spears;Britney;misc;Pop;;2001;I'm A Slave 4 U;Overprotected;Lonely;I'm Not A Girl, Not Yet A Woman;Boys;Anticipating;I Love Rock 'n' Roll;Cinderella;Let Me Be;Bombastic Love;That's Where You Take Me;When I Found You;What It's Like To Be Me;Data
4911;a80f040d;Justin Timberlake;Justified;misc;Other;ID3G:  12;;Senorita;Like I Love You;What You Got;Take It From Here;Cry Me A River;Rock Your Body;Nothin Else;Last Night;Still On My Brain;Take Me Now;Right For Me;Let's Take A Ride;Never Again;
4959;a812730c;Deep Dish;Yoshiesque 2 (CD2);misc;Dance;;2001;KOT - Finally (MAW Sting Reprise Mix);Ben Shaw - So Strong (Cass & Slide Remix);Faze Action - Samba (The S-Mans Darkstar Mix);Dusted/KC Flight - Remember To Respect/Voices (Deep Dish Mix);Loudeast - Lights Off! (Original/Dub Mix);Humate - Choose Life (Thomas Schumacher Remix);Greed - Strange World (Blackwatch Monkey Dub);Oliver Lieb pres. Snakemen - Afrika;John Creamer & Stephane K - I Wish You Were Here;Delerium - Innocente (Deep Dish Gladiator Remix);Morel - Funny Car;Espirito - Don't Cry (Modwheel Mix);;
4975;a908990d;Mormon Tabernacle Choir;It's Christmas;misc;Christmas;YEAR: 1989;1989;Deck The Hall;Away In A Manger;O Holy Night;The First Noel;I Heard The Bells;Hark! the Herald Angels Sing;Silent Night;O Little Town of Bethlehem;Joy to the World;Angels We Have Heard On High;Far, Far Away on Judea's Plains;O Come, All Ye Faithful;We Wish You A Merry Christmas;
4988;a909860e;V mm l Spellemannslag;V mm l'n;misc;;;;V mm lstev;H vlerivisa;Peder og Hamarforsens brus;Vinterbruden;Martin i svingen;Sp ll  t m;V mm l'n;Gammel Thomas;Tango Kapital;Porselensstrand;Jonassen;Ann Magrit;D ven han ta;Johan M kkerbakken
5010;a90ac60c;Caprice;Elvenmusic;misc;;;;The Realm Of Faerie;Princess Mee;Song Of The Wind;Far Over Misty Mountains;The Last Dance;Lullaby;The Mewlips;Of Amroth And Nimrodel;The Road Goes Ever On And On;Merrymaking Of The Forest Elves;Of True Thomas And Fairy Queen;Farewell;;
5025;a90b630b;Lenine;Na Pressão;misc;;;;Jack Soul Brasileiro;Na Pressão;Paciencia;Meu Amanhã (Intuindootil);A Rede;Tubi Tupy;A Medida da Paixão;Alzira e a Torre;Ruada Passagem (Trânsito);Relampiano;Eu Sou Meu Guia;;;
5052;a90c120e;divididos;la era de la boludez;misc;Rock;;;Pista 01;Pista 02;Pista 03;Pista 04;Pista 05;Pista 06;Pista 07;Pista 08;Pista 09;Pista 10;Pista 11;Pista 12;Pista 13;Pista 14
5099;a90dee0c;Disneyland;The Haunted Mansion: 30th Anniversary;misc;Theme Park;;1999;Walt Disney;Welcome;The Haunted Mansion ...at Disneyland;The Haunted Mansion ...at Walt Disney World;The Haunted Mansion ...at Tokyo Disneyland;Phantom Manor ...at Disneyland Paris;The Genius of Paul Frees;Otherworldly Music;Three Ghostly Voices;Eery Music by Jimmy MacDonald;Radio Advertisements;Breakdown and Unload Spiels;;
5122;a90f160b;The Crystal Method;Tweekend;misc;Techno;;;Phd;Wild, Sweet, Cool;Roll It Up;Murder;Name Of The Game;The Winner;Ready For Action;Ten Miles Back;Over The Line;Blow Out;Tough Guy;;;
5185;aa099a0c;Spineshank;The Height Of Callousness;misc;Industrial;;;Asthmatic;The Height Of Callousness;Synthetic;New Disease;(Can't Be) Fixed;Cyanide 2600;Play God;Malnutrition;Seamless;Negative Space;Transparent;Perfect Ending (Bonus Track);;
5204;aa0ac40d;Foo Fighters;Foo Fighters;misc;Grunge;ID3G: 6;;Doll;Monkey Wrench;Hey. Johnny Prak!;My Poor Brain;Wind Up;Up In Arms;My Hero;See You;Enough Space;February Stars;Everlong;Walking After You;New Way Home;
5205;aa0ac60c;Caprice (by VaroX);Elvenmusic;misc;;;;The realm of faerie;Princess mee;Song of the wind;Far over misty mountains;The last dance;Lullaby;The mewlips;Of amroth and nimrodel;The road goes ever on and on;Merrymaking of the forest elves;Of true thomas and fairy queen;Farewell;;
5238;aa0c6a0d;Piratas;Ultrasonica;misc;;;;Teching;El equilibrio es imposible;Años 80;Disimular;Muertos;Jugar con los coches;Filofobia;Caótico neutral;Inevitable;El cielo de lo nuestro;Colores;Cuando te duermas;Ultrasonica;
5289;aa11221c;KBS;KBS TV¸¸È­¿µÈ­ ³ë·¡¸ðÀ½;misc;Soundtrack;KBS TV Animation Songs;2000;¹«Àû Ä¸Æ¾ »ç¿ì¸£½º;°¡¿À°¡ÀÌ°Å;°ñµå·±;¸¶¹ýÃµ»ç ·çºñ I;¿ä¸®¿Õºñ·æ Main;¸íÅ½Á¤ ÄÚ³­;¹öÅ°¿Í ÅõÅõ;¶Òµü¹Ú»ç ÇË;ÁÖ¸¸Áö;°£È£Ãµ»ç ¸®¸®Ä« I;¾Å¾ÅÄ°;Áö±¸Æ¯°ø´ë;º£¸£»çÀÌÀ¯ÀÇ Àå¹Ì;³»ÀÏÀº Ãà±¸¿Õ
5324;ab08640b;Tracy Chapman;Tracy Chapman;misc;;;1988;Talkin' bout a revolution;Fast car;Across the LInes;Behind the wall;Baby can I hold you;Mountains o' things;She's got her ticket;Why;For my lover;If not now;For you;;;
5360;ab0a7a0c;Molotov;¿Dónde jugaran las niñas?;misc;;;1997;Que no te haga bobo Jacobo;Molotov Coktail Party;Voto latino;Chinga tu madre;Gimme the power;Mátate Teté;Más vale Cholo;Use it or lose it;Puto;¿Porqué no te haces para allá?... al mas allá;Cerdo;Quítate que ma'sturbas (perra arrabalera);;
5371;ab0af319;Console;Rocket in the Pocket;misc;;;;My Dog Eats Beasts;Gulls Galore;Dolphin Los;Pigeon Party;Delay Dackel;Crabcraft;Rocket in the Pocket;Jee Queen;Walk Like a Worm;Hidden track;Hidden track;Hidden track;Hidden track;Hidden track
5392;ab0bac0d;Pe. Marcelo Rossi;Músicas para louvar ao Senhor;misc;Gospel;YEAR: 1998 ID3G: 38;1998;Quero mergulhar nas profundezas;Corsa;Espírito;Basta querer;Senhor, põe teus Anjos aqui;Mãe, Mãe, Mãe;Reunidos aqui;Anjos de Deus;Quem é esta que avança como a aurora;Palmas para Jesus;A alegria (Aeróbica do Senhor);Pot Pourri - Festinha para Jesus;Erguei as mãos - Senhor tem muitos filhos;
5394;ab0bbe0d;Barenaked ladies;Maroon;misc;Other;YEAR: 2000 ID3G: 12;2000;Too little too late;Never do anything;Pinch me;Go home;Falling for the first time;Conventioneers;Sell sell sell;Humor of the situation;Baby seat;Off the hook;Helicopters;Tonight is the night i fell asleep at the wheel;Inline bowline;
5418;ab0cf00d;Barenaked Ladies;Maroon;misc;Rock;YEAR: 2000 ID3G: 17;2000;Too little too late;Never do anything;Pinch me;Go home;Falling for the first time;Conventioneers;Sell Sell Sell;Humour of the situation;Baby Seat;Off The Hook;Helicopters;Tonight is the night I fell asleep at the wheel;Inline Bowline;
5426;ab0d340d;Alien Ant Farm;ANThology;misc;Crossover;YEAR: 2000;2000;Courage;Movies;Flesh And Bone;Whisper;Summer;Sticks And Stones;Attitude;Stranged;Wish;Calico;Death Day;Smooth Criminal;Universe;
5443;ab0e3b0c;Nando Reis;A Letra A;misc;Acoustic;;;A Letra A;E Tudo Mais;Dentro do Mesmo Time;Hoje Mesmo;De Lhe Pra Te;O Meu Posto;De Mãos Dadas;Mesmo Sozinho;Púrpura;Luz dos Olhos;Um Simples Anraço;Tão Diferente;;
5458;ab0fc80c;Richard Bona;Munia/The Tail;misc;Fusion;YEAR: 2003;2003;Bonatology(Incantation);Kalabancoro;Sona Mama;Painting A Wish;Engingilaye;Dina Lam(Incantation);Balemba Na Bwemba;Muto Bye Bye;Bona Petit;Couscous;Playground;Liberty City(Live at the Jazz Standard, NYC);;
5477;ab10f90c;The Cure;Disintegration;misc;Darkwave;;1989;Plainsong;Pictures Of You;Closedown;Love Song;Last Dance;Lullaby;Fascination Street;Prayers For Rain;The Same Deep Water As You;Disintegration;Homesick;Untitled;;
5542;ac0a690e;Voodoo Glow Skulls;The Band Geek Mafia;misc;;;;Human Piñata;Symptomatic;Love Letter;They Always Come Back;Walkin' Frustration;Yo No Tengo Tiempo (para ti);Left For Dead;The Band Geek Mafia;Brodie Johnson Weekend;Delinquent Song;Hieroglyphics;Misunderstood;Hit A Guy With Glasses;Stranded In The Jungle
5549;ac0ab00c;Superstars;United;misc;;;2003;Superstars / We have a dream;Superstars / Tonight;Superstars / Cry on my Shoulder;Superstars / A Young Generation;Superstars / Here we stand again;Superstars / Superman;Superstars / How can we mend your lonely He;Superstars / Today, Tonight, Tomorrow;Superstars / We are no Heroes;Superstars / Freedom;Superstars / God gave Love to you;Superstars / It's all Over;;
5574;ac0baa0c;Savage Garden;Savage Garden;misc;Pop;ID3G: 13;;To the Moon and Back;Carry On Dancing;Tears of Pearls;I Want You;Truly Madly Deeply;Violet;All Around Me;Universe;A Thousand Words;Break Me Shake Me;Mine;Santa Monica;;
5577;ac0bb00b;AC DC;Ballbreaker;misc;Hard Rock;;1995;Hard As A Rock;Cover You In Oil;The Furor;Boogie Man;The Honey Roll;Burnin' Alive;Hail Cesar;Love Bomb;Caught With Your Pants Down;Whiskey On The Rocks;Ballbreaker;;;
5657;ac10750b;Robert Miles;Dreamland;misc;Dream;ID3G:  55;;Children (Dream Version);Fable (Message Version);Fantasya;Landscape;In My Dreams;One & One;Princess Of Light;Fable;In The Dawn;Children (Original Version);Red Zone;;;
5664;ac10ab0b;IRON MAIDEN;The X Factor;misc;Metal;YEAR: 1995;1995;Sign Of The Cross;Lord Of The Flies;Man On The Edge;Fortunes Of War;Look For The Truth;The Aftermath;Judgement Of Heaven;Blood On The World's Hands;The Edge Of Darkness;2 A.M.;The Unbeliever;;;
5681;ac11730c;Robert Miles;Dreamland [BVCP-993];misc;Electronic;;1996;One And One (Radio Version);Children (Eat Me Edit);Children (Dream Version);Fable (Message Version);Fantasya;Landscape;In My Dreams;Princess Of Light;Fable (Dream Version);In The Dawn;Children (Original Version);Red Zone;;
5731;ad0ac00c;Tom Waits;Closing Time;misc;;;;Ol' '55;I Hope That I Don't Fall In Love With You;Virginia Avenue;Old Shoes (& Picture Postcards);Midnight Lullaby;Martha;Rosie;Lonely;Ice Cream Man;Little Trip To Heaven (On The Wings Of Your Love);Grapefruit Moon;Closing Time;;
5746;ad0b9b0c;Nelly Furtado;Whoa, Nelly!;misc;Pop;Dreamworks Records;2001;01-Hey Man;02-On The Radio (Remember the Days);03-Baby Girl;04-Legend;05-I'm Like a Bird;06-Turn Off The Light;07-Trynna Finda Way;08-Party;09-Well, Well;10-My Love Grows Deeper Part I;11-I Will Make U Cry;12-Scared of You;;
5754;ad0bc10c;Shakespears Sister;Hormonally Yours;misc;;Copyright 1992 London Recordings;;Goodbye Cruel World;I Don't Care;My 16th Apology;Are We In Love Yet;Emotional Thing;Stay;Black Sky;The Trouble With Andre;Moonchild;Catwoman;Let Me Entertain You;Hello (Turn Your Radio On);;
5776;ad0c800c;Cousteau;Sirena;misc;Acoustic Pop;YEAR: 2002 ID3G: 20;2002;Nothing So Bad;(Damn These) Hungry Times;Talking To Myself;Peculiarly You;Salome;Please Don't Cry;No Medication;After The Fall;Last Secret Of The Sea;Heavy Weather;She Bruise Easy;Have You Seen Her;;
5780;ad0ca80e;Années 80 #1;chant;misc;Vocal;;2001;Africa;Banana split;C'est la ouate;Etienne Etienne;Il jouait du piano debout;Joe le taxi;Libertine;Mademoiselle chante le blues;Nuit magique;Oui j'l'adore;Si j'étais un homme;Tout doucement;Toute première fois;Voyage voyage
5782;ad0cae0e;Années 80;instrumental;misc;Vocal;;2001;Africa;Banana split;C'est la ouate;Etienne Etienne;Il jouait du piano debout;Joe le taxi;Libertine;Mademoiselle chante le blues;Nuit magique;Oui j'l'adore;Si j'étais un homme;Tout doucement;Toute première fois;Voyage voyage
